Location,lat,lon
emmit and verona,,
jane and marshlynn,,
albion and martin grov,,
kipling and rathburn,,
bathurst and sheppard,,
keele and arrowsmith,,
the west mall and bloo,,
eglinton and mt pleasa,,
bloor and west mall,,
markham and finch,,
st clair and birchmoun,,
mccowan and brimorton,,
wilson and wendell,,
private-wolseley loop,,
morningside and passmo,,
lakeshore and brookers,,
lawrece west station,,
155 transway,43.73193,-79.26328
prince edward and bloo,,
lawrence and ralph,,
8 wickman rd,43.6173685,-79.5305542
bayview and finch,,
kingston and parkcrest,,
west humber blvd and i,,
west mall and bloor,,
jane and dairymple,,
humber college and sil,,
glencairn and lansdown,,
jane and weston rd,,
sheppard and scunthorp,,
rathburn and the east,,
sheppard and greenbria,,
kingston road and main,,
the queensway and culn,,
calendonia and summitt,,
finch adn torresdale,,
york mills and old yon,,
dufferin and eversfiel,,
brookbanks and valley,,
weston and albion,,
york mills an old york,43.7434872,-79.4055727
finch and signet,,
keele and west toronto,,
weston and humberview,,
finch and paige,,
nielsen and crow trail,,
finch and seneca hill,,
sheppard and yonge,,
danforth and pharmacy,,
cummer and fleming,,
townsley loop,43.6742149,-79.4635042
york mills and upper h,,
mccowan and huntingwoo,,
yonge and merton,,
staines rd and rivende,,
milliken go transit st,,
weston and black creek,,
trethewey and paulson,,
eglinton and kane,,
avenue and roselawn,,
cummer and snowcrest,,
keele and gulliver,,
sheppard and sentinel,,
lawrence and markham,,
finch and warden,,
york mills and valleyw,,
davenport rd and oakwo,,
brimley and ellesmere,,
pharmacy and dolphin,,
yonge and davisville,,
arrow rd garage,43.7456717,-79.5321807
morningside ave and el,,
grandravine dr and fut,,
wilson and ridge rd.,,
st clair adn santamoni,,
parliament and st jame,,
kennedy and merrian rd,,
jane and annette,,
weston and albion ramp,,
islington and leduc dr,,
eglinton and kingston,,
markham and brimorton,,
main street and old we,,
bayview and davisville,,
markam and old welling,,
st phillips road and r,,
mt pleasent and keewat,,
hwy7 and markham,,
varna and ranee,,
islington and vanhill,,
finch and albion,,
lawrence and bathurst,,
birchmount rd and danf,,
earlscourt loop,43.6757013,-79.4508618
bathurst and patricia,,
weston and eglinton,,
danforth and lynn ave,,
dixon and kelfield,,
eglinton and chaplin,,
morningside and corona,,
st clair and lansdowne,,
martin grove and finch,,
weston and lawrence (1,,
355 strathmore blvd,43.6841597,-79.3230398
river and gerrard,,
dufferin and finch,,
finch and champagne,,
royal york and lawrenc,,
kennedy and mcnicoll,,
kipling and ronson,,
rathburn and west mall,,
dufferin and martin ro,,
albion and calstock dr,,
van horne and don mill,,
uphill and church,,
east and island,,
eglinton and renforth,,
mayfair and vesta,,
moringview trail and s,,
humber college and joh,,
finchdene and finch,,
strachan and douro,,
30 falstaff avenue,43.7164605,-79.5052117
progress and sheppard,,
york university busway,43.7719329,-79.4676457
brown's line and valer,,
mcnicoll and pharmacy,,
rathburn and east mall,,
bridgeland and dufferi,,
bridgeland and caledon,,
ossington and hepbourn,,
danforth and wolfe,,
don mills and leith hi,,
steeles and redlea,,
dockside drive and que,,
starspray loop and law,,
morningside and planta,,
finch and milady,,
graydon hall dr and do,,
eglinton ave w and bla,,
emmet and verona,,
bayview and blythwood,,
parliament and king,,
finch and sentinnal,,
victoria park and sun,,
steeles loop at yonge,,
2170 dufferin st,43.68956,-79.44802
dufferin and martin,,
mt denis garage,,
dufferin and bowie,,
yonge and lord seaton,,
jane and frith,,
warden and st clair,,
st clair and victoria,,
eglinton and east mall,,
port union and ravine,,
queen and eastern,,
linkwood and edgecliff,,
dufferin and wingold,,
st clair and kingston,,
404 bloor st,43.672351,-79.3775348
dufferin and gibson,,
crow trail and tapscot,,
danforth and victoria,,
wilson and dufferin,,
wilson and lexfield,,
murray ross pkwy and c,,
neptune and bathurst,,
kingston and fallingbr,,
midland and wolfe,,
lawrence and culford,,
bayview and hwy 401,,
islington and albion,,
brimley and sheppard,,
humber college and lyn,,
morningside and casebr,,
morningside and hwy 40,,
jetliner and airport,,
markham and milner,,
dundas and the east ma,,
queen and the east mal,,
nugget and markham,,
dundas and willard,,
kipling and north que,,
danforth and pape,,
vaughan metropolitan c,,
steeles and dufferin,,
martin grove and westh,,
victoria park and egli,,
humberline dr and holy,,
rogers and weston (av,,
martin grove and silve,,
finch and elana,,
coxwell and gerrard,,
oakwood and highview,,
martin grove and steel,,
avenue and st clements,,
1 high meadow pl,43.755592,-79.5377463
pariliament and king,,
st clair and vaughan,,
don mills rd and dunca,,
ossington and college,,
ellesmere and brimley,,
midland and mcnicoll,,
dufferin and dupont,,
corporate dr and consi,,
