location,location_id
LAKESHO AND PARLIAMENT,331
CALEDONIA AND EGLINTON,332
FINCH AND MILLIKEN,333
KIPLING STATION AND RATHBURN,334
COPRORATE AND LEE,335
TRANSIT AND WILSON STATION,336
MARKHAM AND TUXEDO,337
DUNDAS AND THOMAS RILE,338
GUILDWOOD AND KINGSTON,339
CONBURN AND PAPE,340
CENTENNIAL COLLEGE STATION,341
HAMBLY AND QUEEN STATION,342
EGLINTON AND KENNEDY STATION,343
UNKNOWN,344
OAKWOOD AND ST CLAIR STATION W,345
LUMSDEN AND WOODBINE STATION,346
ELLESMERE AND MILITARY,347
LAWRENCE STATION AND WESTON,348
SIGNAL HILL AND STEELES,349
ST CLAIR STATION W STATION,350
ALBION AND KIPLING,351
STEELES AND STEINWAY,352
COLLEGE STATION AND OSSINGTON,353
KENNEDY AND SHEPPARD,354
JANE AND MAPLE LEAF,355
O CONNOR AND PAPE,356
ALBION AND ELMHURST,357
MILVAN AND PENN,358
OAKWOOD AND ROGERS,359
EGLINTON AND LASCELLES,360
CULFORD AND LAWRENCE,361
CHESSWOOD AND FINCH STATION,362
DON MILLS AND SENECA H,363
ELLESMERE STATION AND MIDLAND,364
CHESSWOOD AND FINCH,365
ISLINGTON STATION AND WESTWAY,366
BLOOR AND ISLINGTON STATION,367
BAY STATION AND FRONT,368
MCCOWAN AND SHEPPARD,369
FINCH AND SENTINEL,370
DANFORTH AND HUNTINGTO,371
MOUNT DENNIS GARAGE,372
SPADINA STATION,373
MORNINGSIDE AND OLD FI,374
BATHURST STATION AND GREENWIN,375
QUEENSWAY GARAGE,376
KINGSTON AND WOODBINE,377
QUEENSWAY DIVISION,378
LANSDOWNE AND ST CLAIR STATION,379
QUEEN STATION PARK CIRCLE,380
MOUNT DENNIS DIVISION,381
LAWRENCE STATION AND MIDLAND,382
JANE STATION AND SHEPPARD,383
HOLLYHEDGE AND MCCOWAN,384
BATHURST STATION,385
LAWR AND VICTORIA PARK,386
HUMBERWOOD AND MORNING,387
BERING AND KIPLING,388
FINCH STATION AND YONGE,389
HUMBER COLLEGE STATION,390
MORNINGSIDE AND STEELES,391
KINGSTON AND ST CLAIR,392
BLOOR AND INDIAN,393
FINCH AND TAPSCOTT,394
ST CLAIR AND WARDEN STATION,395
FIRGROVE CRES AND JANE,396
ORMONT AND WESTON,397
KENNEDY STATION A PL,398
MIDLAND STATION AND STEELES,399
GERRARD STATION AND ST MATHEWS,400
BEE AND HUMBER COLLEGE,401
MORNINGSIDE AND OASIS,402
WALSH AND WILSON,403
BATHURST AND COVINGTON,404
MORNINGSIDE AND PASSMORE,405
SHERWAY GARDENS,406
CHAPLIN EGLINTON R,407
LANSDOWNE STATION AND ST CLAIR,408
FENMAR AND ORMONT,409
CHAPLIN BETWEEN EGLINTON,410
ST CLAIR AND WELLAND,411
CONSUMERS AND VICTORIA,412
EGLINTON AND ROYAL YORK,413
CONS AND VICTORIA PARK,414
CASTLEMORE AND MCCOWAN,415
DUNAD AND GILMOUR,416
EGLINTON AND HOYLE,417
ALLEN AND EGLINTON,418
LANSDOWNE AND SEAFORTH,419
HIGH AND THE QUEENSWAY,420
KENNEDY STATION PLAT,421
FINCH STATION AND KENNEDY,422
LAWRENCE STATION AND MARKHAM,423
BAYVIEW STATION AND YORK MILLS,424
GREENBRAE AND MARKHAM,425
KENNEDY AND PROGRESS,426
EGLINTON AND,427
BING AND VICTORIA PARK,428
MAPLE AND SHERBOURNE,429
ARROW AND SHEPPARD,430
IAN MACDONALD AND POND,431
KEELE AND LAWRENCE STATION,432
DUFFERIN AND KEYWEST,433
CARLAW AND COLGATE,434
DAN LECKIE AND QUEEN STATION,435
JANE STATION AND TRETHEWEY,436
HORNER AND JUDSON,437
DOWNSVIEW AND JANE,438
KENNEDY STATION DROP,439
EGLINTON AND MOUNT PLE,440
BLACKCREEK AND JANE,441
BIRCHMOUNT AND NEWLAND,442
ALLINGHAM AND BATHURST,443
DONWAY AND LAWRENCE,444
FINCH AND MILVAN,445
FINCH STATION AND MARKHAM,446
BRIMLEY AND TRITON,447
KIPLING AND RATHBURN,448
MARKHAM AND MCNICOLL,449
COMMANDER AND MCCOWAN STATION,450
PEARSON AIRPORT TERMIN,451
JANE STATION AND ST CLAIR,452
EARLSCOURT LOOP,453
SENTINEL AND STREAMDAL,454
HAREWOOD AND KINGSTON,455
FINCHDEN AND FINCHDENE,456
KINGSTON AND MORNINGSIDE,457
HUMBER COLLEGE AND HWY,458
KIPLING AND THE WESTWA,459
KNOB HILL D AND WESTON,460
DON MILLS STATION AND WYNFORD,461
FINCH AND MORNINGSIDE,462
BLOOR AND MALL,463
AYLMER AND YONGE,464
INDUSTRY AND RAY,465
LA AND THE DONWAY W,466
MALVERN GARAGE,467
BLOO AND THE W MALL,468
BRIMLEY AND EGLINTON,469
ESNA PARK LOOP,470
CARLINGVIEW AND DIXON,471
YONGE AND YORK MILLS STATION,472
CUMMER AND YONGE,473
KEELE STATION AND LAWRENCE,474
RICHGR AND WILLOWRIDGE,475
BATHURST STATION AND STEELES,476
HARBORD AND SPADINA,477
GALLOWAY AND KINGSTON,478
PEARSON TERMINAL 3,479
ALBION AND WESTON,480
BURNHAMT AND MALL,481
KING STATION AND PARLIAMENT,482
AMAZON FUFILLMENT CENT,483
EGLINTON AND MARLEE,484
AND BEECR AND SHEPPARD,485
LESMILL AND VALLEYBROO,486
DAVENPORT AND DUPONT STATION,487
HARRISO AND YORK MILLS,488
PARLIAMENT AND SHUTER,489
STEELES W,490
BRAECREST AND THE W,491
WARDEN STATION BETWEEN EGLINTON,492
GREENWIN VILLAGE AND R,493
EGLINTON AND MIDLAND,494
EGLINTON AND KENNEDY,495
MARKLAND AND MILL,496
ROUGE HILL GO STATION,497
BIRCHM AND HUNTINGWOOD,498
DON MILL AND OVERLEA,499
GERRARD STATION AND SHERBOURNE,500
MIDLAND AND STEELES,501
LAWRENCE AND LITTLE,502
ATLANTIC AND KING STATION,503
DON MILLS AND WYNFORD,504
CHURCH AND WELLESLEY,505
BAYVIEW STATION AND EGLINTON,506
COSBURN AND GLEDHILL,507
DUNDAS STATION AND SHORNCLIFFE,508
LAWRENCE AND SCARBOROUGH,509
BRADOAKS AND KEELE,510
EGLINTON AND KINGSTON,511
ESPLANADE AND SHERBOURNE STATION,512
LAKESHORE GARAGE,513
MANHATTAN AND WARDEN,514
STEELES AND WESTON,515
ANCASTER AND POWELL,516
TORYORK AND WESTON,517
MORNING SIDE AND SHEPP,518
RUNNYMEDE STATION,519
HARBORD AND OSSINGTON,520
GARRATT AND WILSON,521
BLOOR AND CLENDENAN,522
GLENLAKE AND KEELE,523
LANSDOWNE STATION AND QUEEN,524
DUPONT AND ST GEORGE STATION,525
DUNDAS STATION AND PARLIAMENT,526
HEPBOURN AND OSSINGTON,527
KING STATION HIGH AND WILSON,528
AND MELROSE,529
EGLINTON AND PHARMACY,530
SHEPPARD AND SHORTTING,531
DUNDAS AND E MALL,532
AIRPORT AND AMERICAN D,533
BLOOR AND PARLIAMENT,534
EGLINTON AND WINCOTT,535
BATHURST AND GREENWIN,536
AVON LOOP,537
YONGE ADELAIDE,538
DAVENPORT AND LANSDOWNE,539
BRIMLEY AND STEELES,540
MARTIN GROVE AND TOLLI,541
LANSDOWNE AND QUEEN STATION,542
ALBION AND ARCOT,543
LANSDOWNE AND RIDEAU,544
AUKLAND AND DUNDAS,545
BISHOP ACROSS,546
KENNEDY STATION AND STC,547
DUNDAS STATION AND KEELE,548
FINCH AND YORK GATE,549
FINCH AND MARKHAM,550
BATHURST AND SOUTHBOUR,551
DANFORTH AND ST CLAIR STATION,552
KEELE AND SHEPPARD W,553
BATHURST AND CLARK,554
G AND THORNCLIFFE PARK,555
KIPLING AND MT OLIVE,556
EGLINTON AND KEELE STATION,557
MORNINGSIDE AND NETHER,558
HAMSTEAD AND WESTLAKE,559
KEELE STATION AND STEELES,560
SHEPPARD AND WARDEN,561
CHURCH AND WESTON,562
SHEPPARD AND WARDEN STATION,563
JANE AND TRETHEWEY,564
ATTINGTON AND SHEPPARD,565
TERMINAL 1,566
YONGE AND YORK MILLS,567
BAYVIEW STATION AND CUMMER,568
KEELE AND SHEPPARD,569
BLOOR AND OSSINGTON,570
BELLAMY AND LAWRENCE,571
COLBECK AND RUNNYMEDE,572
HWY 27 AND REXDALE,573
BIRCHMOUNT AND SHEPPARD,574
CHESSWOOD AND STEEPROC,575
FALSTAFF AND JANE,576
KIPLING AND STEELES,577
EGLINTON AND MIDLAND STATION,578
MORNINGSIDE AND NEILSON,579
QUEEN STATION AND SHAW,580
ALBION AND ISLINGTON,581
FINCH AND YORK GATE BL,582
LAWRENCE AND MARLEE,583
QUEEN STATION S PL AND REXDALE,584
GREENHOLM AND LAWRENCE,585
UNIVERSITY OF TORONTO,586
ELMHURST AND ISLINGTON STATION,587
GIBBS AND MALL,588
BRADSTOCK AND WESTERN,589
EASTERN AND QUEEN STATION,590
ROYAL YORK AND THE WEST,591
BARMAC AND STEELES,592
HIGHVIEW AND WILSON,593
DONLEA AND EGLINTON,594
BELFIELD AND KIPLING STATION,595
DUFFERIN STATION AND WILSON,596
BATHURST STATION AND NEPTUNE,597
STEELES AND WAGGONERS,598
CELEST AND THE WESTWAY,599
DUNDAS AND PAULART,600
SIGNAL HILL AND STEINW,601
DUND AND THE W MALL,602
WARDEN STATION LOOP,603
MCCOWAN AND MILLIKEN WEST,604
ELLESMERE AND MIDLAND STATION,605
AND ST CLEMENTS,606
DUNDAS STATION AND JANE,607
BARRINGTON AND SEACORD,608
WIL AND WILSON STATION HEIGHTS,609
MEDULLA AND QUEEN,610
BIRCHMOUNT AND DANFORTH,611
AGATE AND WILSON,612
HUMBER COLLEGE STATION LOOP,613
QUEEN STATION AND SHERBOURNE,614
FINCH AND JANE STATION,615
CONNOR AND WOODBINE STATION,616
CARRIER LOOP,617
THRONCLIFFE PARK,618
