stop_id,stop_name,stop_lat,stop_lon
576,35 Thorncliffe Park Dr,43.701905,-79.344381
586,Finch Ave East at Tollerton Ave,43.786413,-79.386577
587,Sheppard Ave East at Midland Ave,43.78511,-79.279041
588,Jane St at Troutbrooke Dr North Side,43.732115,-79.51113
589,Yonge Blvd at Yonge St West Side,43.734367,-79.404989
590,Kingston Rd at Parkcrest Dr,43.73564,-79.220356
591,Eglinton Ave East at Kingston Rd,43.743796,-79.212135
592,Consumers Rd at Victoria Park Ave West Side,43.771883,-79.322301
595,Townsend Rd at Freshmeadow Dr,43.810118,-79.356868
596,Bradstock Rd at Weston Rd East Side,43.739021,-79.538944
597,Islington Ave at The Queensway North Side,43.624047,-79.514742
600,Kennedy Rd at Linwood Ave,43.79345,-79.29257
602,Kingston Rd at Old Kingston Rd,43.774223,-79.182991
604,Dundas St West at Humber Hill Ave,43.665097,-79.501201
605,Kingston Rd at McCowan Rd,43.725443,-79.232312
606,Kipling Ave at Ronson Dr,43.702689,-79.562632
611,Lansdowne Ave at College St,43.651115,-79.440132
612,Neilson Rd at Keeler Blvd,43.790075,-79.211457
613,Markham Rd at Golden Ave,43.848191,-79.253938
616,Wilson Ave at Clyde Ave West Side,43.738736,-79.427049
617,Opposite 1686 Albion Rd,43.742378,-79.597507
618,Lawrence Ave West at Pine St,43.702096,-79.508129
619,Bayview Ave at Parkhurst Blvd North Side,43.708992,-79.376295
621,Steeles Ave West at Carpenter Rd West Side,43.792072,-79.448117
625,Steeles Ave West at Martin Grove Rd,43.758023,-79.60324
632,4979 Bathurst St,43.775615,-79.443268
635,Yonge St at Charles St West,43.668841,-79.386282
636,Warden Ave at Glen Springs Dr,43.804646,-79.320021
638,Warden Ave at Bridge to Markham Theatre,43.858114,-79.334684
643,North Queen St at Index Rd West Side,43.619313,-79.555066
645,533 Lansdowne Ave,43.655682,-79.441766
647,Kipling Ave at Eglinton Ave West,43.677048,-79.550647
650,Sentinel Rd at The Pond Rd South Side,43.769379,-79.5024
651,Lawrence Ave East at Bennett Rd,43.773036,-79.166039
657,Birchmount Rd at Kingston Rd North Side,43.693823,-79.262534
658,Royal York Rd at Renault Cres North Side,43.686157,-79.52813
660,Islington Ave at Jutland Rd,43.629036,-79.517124
662,Gateway Blvd South Side at Grenoble Dr South Side,43.711661,-79.330127
670,East Ave at Wheeling Dr,43.782809,-79.132408
675,Steeles Ave West at Yonge St - Centerpoint Mall,43.797286,-79.422816
680,Eglinton Ave West at Royal York Rd,43.68247,-79.526336
682,24 Fenmar Dr,43.758823,-79.537655
684,Eglinton Ave East at Danforth Rd,43.737338,-79.245756
685,Bathurst St at Dewlane Dr,43.78586,-79.445832
689,Dufferin St at Bridgeland Ave South Side,43.726345,-79.457682
690,Opposite 100 Carrier Dr,43.739311,-79.612839
695,Opposite 1450 Don Mills Rd,43.752754,-79.346954
697,Eglinton Ave East at Sinnott Rd,43.72919,-79.280808
699,Sheppard Ave East at Settlers Rd,43.774798,-79.326438
700,Bayview Ave at Blythwood Rd,43.720818,-79.378698
