route,location_id
24,5659
24,5704
24,5778
24,5935
24,6039
24,6055
24,6104
24,6162
24,6194
24,6215
24,6217
24,6291
24,6424
24,6442
24,6486
24,6688
24,6706
24,6710
24,6713
24,6766
24,6789
24,6826
24,6843
24,6892
24,6902
24,6952
24,6961
24,7026
24,7136
24,7165
24,7430
24,7528
24,7544
24,7592
24,7601
24,7795
24,7864
24,7906
24,8030
24,8132
24,8209
24,8234
24,8363
24,8374
24,8535
24,8616
24,8637
24,8839
24,8885
24,9201
24,9272
24,9436
24,9546
24,9671
24,9696
24,9867
24,9875
24,9941
24,10085
24,10134
24,10198
24,10418
24,10512
24,10607
24,10656
24,11012
24,11025
24,11153
24,11175
24,11201
24,11210
24,11274
24,11452
24,11513
24,11514
24,11703
24,11709
24,11826
24,11944
24,12081
24,12089
24,12159
24,12495
24,12581
24,13036
24,13053
24,13197
24,13247
24,13262
24,13318
24,13332
24,13414
24,13472
24,13590
24,13876
24,13894
24,13991
24,14140
24,14280
24,14304
24,14629
24,15532
24,15598
24,15712
24,15733
24,15744
24,15790
24,16045
24,16072
24,16121
24,16273
24,16426
24,16441
24,16651
24,16943
24,17022
24,17300
24,17378
24,17960
24,18039
24,18219
24,18294
24,18808
24,18971
24,19105
24,19110
24,19578
24,19611
24,19731
24,20099
24,20128
24,20157
25,2
25,3
25,4
25,5
25,18
25,33
25,35
25,39
25,50
25,59
25,72
25,75
25,76
25,89
25,119
25,142
25,158
25,160
25,161
25,173
25,184
25,199
25,222
25,225
25,226
25,227
25,232
25,243
25,272
25,273
25,276
25,286
25,299
25,309
25,313
25,319
25,356
25,363
25,367
25,389
25,395
25,461
25,472
25,504
25,560
25,616
25,658
25,681
25,690
25,725
25,730
25,733
25,748
25,764
25,769
25,775
25,780
25,817
25,836
25,846
25,850
25,853
25,869
25,957
25,1008
25,1041
25,1056
25,1097
25,1126
25,1164
25,1220
25,1246
25,1251
25,1252
25,1272
25,1286
25,1287
25,1295
25,1340
25,1370
25,1377
25,1439
25,1453
25,1454
25,1458
25,1459
25,1461
25,1473
25,1476
25,1482
25,1534
25,1584
25,1678
25,1726
25,1766
25,1800
25,1810
25,1823
25,1829
25,1841
25,1857
25,1880
25,1899
25,1906
25,1936
25,1979
25,2071
25,2107
25,2119
25,2129
25,2140
25,2146
25,2220
25,2271
25,2280
25,2286
25,2326
25,2380
25,2440
25,2528
25,2530
25,2537
25,2538
25,2544
25,2565
25,2583
25,2657
25,2670
25,2689
25,2702
25,2770
25,2774
25,2782
25,2805
25,2819
25,2848
25,2881
25,2917
25,3073
25,3104
25,3108
25,3125
25,3163
25,3232
25,3265
25,3338
25,3359
25,3367
25,3401
25,3402
25,3443
25,3445
25,3448
25,3503
25,3569
25,3608
25,3618
25,3654
25,3679
25,3721
25,3754
25,3800
25,3885
25,3910
25,3970
25,4113
25,4154
25,4198
25,4242
25,4243
25,4255
25,4274
25,4316
25,4428
25,4507
25,4512
25,4526
25,4582
25,4643
25,4724
25,4763
25,4764
25,4833
25,4905
25,4973
25,5035
25,5069
25,5073
25,5093
25,5097
25,5114
25,5143
25,5181
25,5270
25,5286
25,5344
25,5367
25,5395
25,5415
25,5466
25,5643
25,5699
25,5934
25,5950
25,5997
25,6016
25,6244
25,6287
25,6316
25,6341
25,6358
25,6395
25,6417
25,6539
25,6544
25,6574
25,6752
25,6765
25,6820
25,6830
25,6895
25,6960
25,7026
25,7039
25,7070
25,7192
25,7220
25,7323
25,7334
25,7559
25,7574
25,7666
25,7673
25,7680
25,7773
25,7779
25,7818
25,7925
25,8040
25,8110
25,8113
25,8123
25,8146
25,8205
25,8214
25,8269
25,8280
25,8285
25,8325
25,8420
25,8487
25,8551
25,8595
25,8640
25,8825
25,8882
25,8935
25,8938
25,8948
25,8995
25,9031
25,9080
25,9179
25,9330
25,9511
25,9529
25,9607
25,9621
25,9761
25,9822
25,9824
25,9878
25,9911
25,10028
25,10067
25,10130
25,10167
25,10183
25,10216
25,10228
25,10239
25,10265
25,10286
25,10370
25,10454
25,10521
25,10529
25,10577
25,10677
25,10769
25,10922
25,10933
25,11082
25,11202
25,11301
25,11365
25,11469
25,11473
25,11575
25,11875
25,12062
25,12249
25,12258
25,12482
25,12496
25,12588
25,12667
25,12708
25,12741
25,12869
25,12878
25,12959
25,13028
25,13198
25,13210
25,13293
25,13378
25,13494
25,13604
25,13634
25,13653
25,13727
25,13739
25,13765
25,13816
25,13843
25,13965
25,14039
25,14397
25,14561
25,14623
25,14663
25,14806
25,14846
25,14931
25,14952
25,15145
25,15189
25,15238
25,15259
25,15339
25,15386
25,15392
25,15654
25,15850
25,15946
25,15968
25,16021
25,16023
25,16061
25,16065
25,16280
25,16633
25,16795
25,16862
25,16879
25,16986
25,17043
25,17125
25,17223
