trip_id,route_id,route_short_name,route_long_name,route_color,route_text_color,direction_id,scheduled_hour,dir_E,dir_N,dir_S,dir_W,dir_UNKNOWN
76764010,100,100,Flemingdon Park,ED1C24,FFFFFF,1,16,0,1,0,0,0
41097070,100,100,Flemingdon Park,ED1C24,FFFFFF,1,8,0,1,0,0,0
24031070,100,100,Flemingdon Park,ED1C24,FFFFFF,1,18,0,1,0,0,0
41466070,100,100,Flemingdon Park,ED1C24,FFFFFF,1,11,0,1,0,0,0
32930070,100,100,Flemingdon Park,ED1C24,FFFFFF,1,17,0,1,0,0,0
44116010,100,100,Flemingdon Park,ED1C24,FFFFFF,1,18,0,1,0,0,0
24284020,100,100,Flemingdon Park,ED1C24,FFFFFF,1,11,0,1,0,0,0
54554020,100,100,Flemingdon Park,ED1C24,FFFFFF,1,7,0,1,0,0,0
29400020,100,100,Flemingdon Park,ED1C24,FFFFFF,1,23,0,1,0,0,0
442080,100,100,Flemingdon Park,ED1C24,FFFFFF,1,7,0,1,0,0,0
32536010,100,100,Flemingdon Park,ED1C24,FFFFFF,1,16,0,1,0,0,0
44270080,100,100,Flemingdon Park,ED1C24,FFFFFF,1,9,0,1,0,0,0
25071080,100,100,Flemingdon Park,ED1C24,FFFFFF,1,11,0,1,0,0,0
46275080,100,100,Flemingdon Park,ED1C24,FFFFFF,1,20,0,1,0,0,0
25367010,100,100,Flemingdon Park,ED1C24,FFFFFF,1,10,0,1,0,0,0
36767020,100,100,Flemingdon Park,ED1C24,FFFFFF,1,20,0,1,0,0,0
37359010,100,100,Flemingdon Park,ED1C24,FFFFFF,1,16,0,1,0,0,0
39400080,100,100,Flemingdon Park,ED1C24,FFFFFF,1,18,0,1,0,0,0
28351080,100,100,Flemingdon Park,ED1C24,FFFFFF,1,16,0,1,0,0,0
39962080,100,100,Flemingdon Park,ED1C24,FFFFFF,1,12,0,1,0,0,0
28434080,100,100,Flemingdon Park,ED1C24,FFFFFF,1,9,0,1,0,0,0
26438020,100,100,Flemingdon Park,ED1C24,FFFFFF,1,18,0,1,0,0,0
28713080,100,100,Flemingdon Park,ED1C24,FFFFFF,1,17,0,1,0,0,0
26480020,100,100,Flemingdon Park,ED1C24,FFFFFF,1,10,0,1,0,0,0
38496070,100,100,Flemingdon Park,ED1C24,FFFFFF,1,23,0,1,0,0,0
35916020,100,100,Flemingdon Park,ED1C24,FFFFFF,1,17,0,1,0,0,0
38606080,100,100,Flemingdon Park,ED1C24,FFFFFF,1,23,0,1,0,0,0
26792070,100,100,Flemingdon Park,ED1C24,FFFFFF,1,14,0,1,0,0,0
29065080,100,100,Flemingdon Park,ED1C24,FFFFFF,1,18,0,1,0,0,0
